room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating
16024828,25729513,东城区,Monthly Discounted- Orchid Amazing Hutong Loft,39.94341,116.39941,Entire home/apt,4,1,2,9011.4,t,2016-12-03,2021-02-11,33,100.0
17098857,103782181,东城区,"【骚舍-偶遇】享受浪漫小清新,超棒夜景,92寸巨幕,游戏机,智能马桶,送游泳健身",39.864470000000004,116.39448,Entire home/apt,3,1,1,2657.71,f,2017-04-03,2020-01-11,210,100.0
22353368,36265451,丰台区,有猫撸的闲适独立房间（注意不是整个公寓喔）近地铁、北京西站火车站,39.87875,116.30691999999999,Private room,1,1,1,1691.27,f,2018-01-11,2021-01-01,67,100.0
23336405,46464665,丰台区,【河边小观园】北京南站附近北欧风新装喔～高层河景房～距离前门故宫6-7km～四号线直达西单颐和园,39.85911,116.37987,Private room,2,1,1,1306.0,f,2018-04-01,2020-10-07,83,100.0
28237763,181705167,丰台区,北京南站，大观园，带有新风系统的精致舒适公寓,39.86292,116.35741999999999,Entire home/apt,3,1,2,1750.04,f,2018-09-21,2020-01-22,57,100.0
28526202,173971768,丰台区,南站 西站 北京站 大兴机场草桥站 大观园 天安门 长安街 西单 牛街 王府井 老北京 地中海风格,39.866859999999996,116.36068,Private room,2,1,1,3839.64,t,2019-04-17,2020-01-13,37,100.0
29377940,211497037,丰台区,地铁零距离|厨卫齐全|巨幕投影|实习出差长租低价|智能公寓,39.83896,116.37100000000001,Entire home/apt,3,1,1,3278.06,f,2018-11-16,2019-12-04,43,100.0
31364076,35482016,丰台区,B:[Lovely]故宫 天安门 Tiananmen/ForbiddenCity 3.5 miles,39.870020000000004,116.41763999999999,Private room,2,1,1,1266.82,t,2019-03-06,2020-01-25,100,100.0
33270362,232540603,丰台区,【绘家-简】【一室一厅月租优惠】地铁5/14号线蒲黄榆楼上-天坛-南站-协和医院-肿瘤医院-可住4人,39.86537,116.42188,Entire home/apt,4,1,1,1815.34,t,2019-04-25,2021-01-12,48,100.0
34458999,259899408,丰台区,【独立大卧室，非整套房】享用一切设施，进门是房客，出门是朋友，宾至如归如home stay一样的体验,39.84648,116.37501999999999,Private room,2,1,1,1338.65,t,2019-05-14,2020-12-05,54,100.0
34483593,258474654,丰台区,遇见：豪华智能整套LOFT公寓，天坛，故宫，天安门，后海，王府井，地铁5号线10号线宋家庄,39.844429999999996,116.42227,Entire home/apt,4,2,2,2376.92,t,2019-05-09,2021-02-12,47,100.0
35174104,260332294,丰台区,【羽依】甄品房源|近北京南站|草桥｜角门西地铁站|西单王府井天安门故宫｜北欧ins风格大房整租,39.83575,116.36993000000001,Entire home/apt,2,1,1,2285.5,t,2019-06-01,2021-01-26,44,100.0
35431436,214255949,丰台区,【唯美LOFT】近天安门，故宫，天坛，王府井，东单，国贸，三里屯，北京站，北京南站，近5/10号地铁,39.84753,116.42278999999999,Entire home/apt,4,2,2,2664.24,t,2019-06-24,2021-02-14,37,100.0
37060075,37988174,丰台区,彩虹阳光床位房限基友『家中有猫』【北京西站附近、5分钟进地铁】,39.88463,116.31613,Shared room,1,1,0,587.7,f,2019-07-27,2020-11-28,48,100.0
37735779,232540603,丰台区,【绘家-秋】【两室一厅月租优惠】地铁5/14号线蒲黄榆-天坛-南站机场直达-天安门协和医院-肿瘤医院,39.86823,116.42238,Entire home/apt,6,2,3,2383.4500000000007,t,2019-08-22,2021-02-19,43,100.0
39186871,16223406,丰台区,旺财家 Wangcai's Home10号线草桥地铁站机场大兴线北京南站和西站Near Subway,39.84142,116.35211000000001,Private room,4,2,2,1097.04,f,2019-10-09,2020-12-10,39,100.0
40527985,311054239,丰台区,天安门故宫国贸后海双井东西单协和宋家庄5号10号亦庄始发北欧高端豪华精装阳光北欧科技复式高端大床套房,39.84669,116.42164,Entire home/apt,2,1,1,3180.11,f,2019-12-11,2021-02-16,63,100.0
40578864,311054239,丰台区,三环宋家庄5号10号亦庄始发天安门故宫天坛西单东单天坛国贸三里屯网红北欧风科技智能复式温馨阳光大床房,39.84858,116.42195,Entire home/apt,2,1,1,2847.08,f,2019-12-09,2021-01-16,31,100.0
40768420,311054239,丰台区,宋家庄天安门西单东单王府井国贸故宫三里屯双井5号线10号线亦庄线始发站豪华精装北欧科技复式阳光大床房,39.84732,116.42395,Entire home/apt,2,1,1,3193.17,f,2019-12-21,2021-02-05,55,100.0
41702292,311054239,丰台区,天安门故宫王府井东西单国贸协和宋家庄地铁站三里屯东西直门天坛西站南站网红大熊叮当精装北欧科技景观复式,39.84734,116.4235,Entire home/apt,2,2,1,3029.92,f,2020-07-29,2021-01-16,31,100.0
44981143,361878509,丰台区,『如心』天坛/故宫/王府井/地铁300米/宋家庄/高端智能公寓/豪华大床房,39.84536,116.42448999999999,Entire home/apt,2,1,1,3493.55,t,2020-08-22,2021-02-11,139,100.0
20034305,107200782,大兴区,“今日特价”/【明年·今日】/亦庄文化园地铁口/高档住宅小区/落地窗/安静舒适/出行便利/美食集中,39.80791,116.48988999999999,Shared room,2,1,2,9592.57,f,2017-09-08,2020-11-14,39,100.0
27608671,206518527,大兴区,【山川异域，风月同天】祖国加油！我们与你并肩！待到山花绽放，我们春天相约！,39.80538,116.45893000000001,Entire home/apt,2,1,1,2403.04,t,2018-08-14,2020-01-18,129,100.0
35810089,102575742,大兴区,米.小筑亦庄大族广场荣京东街地铁站荣京丽都200米地铁,39.79475,116.50917,Entire home/apt,2,1,1,2226.73,t,2019-06-22,2021-02-16,55,100.0
37263993,280545472,大兴区,五号线附近亦庄线，亦庄文化园地铁站林肯公园C区，网红打卡整租一居室,39.805659999999996,116.4895,Entire home/apt,2,1,1,1782.69,f,2019-08-06,2021-01-16,35,100.0
37551737,206518527,大兴区,【优享·公寓·距地铁200米】商圈/南站/北京站/5号线/10号线/大兴机场/亦庄/欢乐谷/天坛,39.805170000000004,116.45843,Entire home/apt,2,1,1,2383.4500000000007,t,2019-08-09,2020-01-10,46,100.0
14807246,85237033,密云区,古北水镇.司马台长城  观景复式套房 宁静时光 龙湖一期步行五分钟至水镇,40.6566,117.24578000000001,Entire home/apt,5,2,3,9011.4,f,2016-10-28,2019-10-06,33,100.0
30807196,230467015,密云区,古北水镇明秀阁家庭亲子观景房,40.64734,117.27073,Entire home/apt,5,2,3,3251.94,t,2019-01-10,2020-12-26,80,100.0
31359749,230467015,密云区,古北水镇明秀阁叠墅二室二卫,40.6504,117.27148999999999,Entire home/apt,5,2,3,3682.92,t,2019-01-13,2020-12-28,55,100.0
32002849,234024433,密云区,步行10分钟进水镇，景区旁高尔夫主题亲子度假别墅，龙湖长城源著一期，,40.64934,117.26911000000001,Entire home/apt,6,2,2,3996.36,t,2019-02-08,2021-02-20,67,100.0
33532343,144684882,密云区,星之蓝山雅墅·大院子&露台+金山岭长城景观@古北水镇(Gubei Water Town),40.65478,117.27667,Entire home/apt,6,2,2,3480.49,f,2019-05-02,2021-02-11,41,100.0
33835648,253133407,密云区,古北水镇嵩赫之居长城观景房（含接送）,40.64528,117.27501000000001,Entire home/apt,4,1,2,2337.74,t,2019-05-26,2021-02-17,43,100.0
35244084,265347358,密云区,古北水镇～陌上花开超大洋房双旦特惠，一天8.8折，两天折上再9折，冬天到水镇来看雪～,40.64767,117.27041000000001,Entire home/apt,3,1,1,2664.24,f,2019-06-08,2021-01-02,45,100.0
34221310,20547767,延庆区,怀来-世园会-野鸭湖-怀来八达岭孔雀城度假区ins风品质三居两卫五星级床品净水智能马桶 室温可调节,40.37061,115.89673,Entire home/apt,7,3,4,5713.75,f,2019-05-02,2020-12-31,54,100.0
34484072,260086078,延庆区,世园会附近小lofo金天驿站农家院,40.46675,116.01543000000001,Entire home/apt,2,1,1,2076.54,t,2019-05-12,2020-10-06,49,100.0
38062847,72691997,延庆区,【沐风居】冰灯石京龙三居小米家居儿童房龙庆峡玉渡山百里画廊野鸭湖滑雪,40.486999999999995,116.04303,Entire home/apt,6,3,4,3963.71,t,2019-08-30,2021-02-17,47,100.0
43659956,170136798,延庆区,【一起滑雪逛冰灯！】〖一客一换〗/5分钟走到滑雪场-近玉渡山/龙庆峡/世园会/永宁古城//野鸭湖,40.51936,115.96513,Entire home/apt,4,2,2,2272.44,f,2020-06-13,2021-02-17,52,100.0
15664586,94723606,怀柔区,怀柔《茗香小院》近雁栖湖、青龙峡、长城景区,40.43453,116.66591000000001,Entire home/apt,10,5,6,12080.5,t,2017-07-09,2020-10-01,36,100.0
22167217,160660203,怀柔区,怀柔怀北滑雪场雁栖湖慕田峪青龙峡河防口长城（带暖气）,40.36782,116.67034,Entire home/apt,6,3,4,5459.08,t,2017-12-25,2021-02-16,47,100.0
28726980,105089102,房山区,做饭优选  舒服泡澡 厨卫完美 这儿是你在北京的家 独享客厅餐厅 厨房 卫生间 下楼地铁 自助入住,39.76086,116.21668000000001,Entire home/apt,2,1,1,1599.85,f,2018-10-04,2020-01-17,47,100.0
33240252,249566533,房山区,良乡大学城地铁站A2北口少女心放映室复式loft,39.72585,116.18007,Entire home/apt,2,1,1,1292.94,f,2019-03-31,2019-12-18,46,100.0
33912936,274874849,房山区,[Fangshan College Town] Cozy Studio by the Subway,39.72957,116.18215,Entire home/apt,3,1,1,1351.71,t,2019-07-28,2021-01-08,34,100.0
34242682,258524895,房山区,地铁站口公寓，近北京西站，直达天安门，故宫等各大景点适合家庭出游/商务/学习居住。,39.762409999999996,116.21328999999999,Entire home/apt,5,2,3,1776.16,t,2019-08-01,2021-01-23,45,100.0
35076624,264226667,房山区,长阳地铁，超级温暖的复式小屋，百寸投影，众多商业环绕，长阳半岛中央城，距北京西站38分钟【芳华影域】,39.76481,116.21063999999998,Entire home/apt,4,1,1,2200.61,f,2019-06-12,2020-01-15,44,100.0
36002908,270867012,房山区,近地铁、理工大学、社科院、北京西站和丰台科技园，落地大窗独立套房*带厨卫【可短租长租】,39.730909999999994,116.18543999999999,Entire home/apt,2,1,1,1423.54,t,2019-07-14,2020-12-21,42,100.0
38336604,85143228,昌平区,全屋地暖、招待宠物、邻凤山温泉度假村、军都山滑雪场、八达岭奥莱、动物园、北方国际射击场、十三陵水库,40.24283,116.28289,Entire home/apt,6,2,4,7183.0,f,2019-09-14,2021-02-22,46,100.0
38739032,296235980,昌平区,雕刻时光🎉 美式别墅 提供温馨早餐-自助烧烤-自家果园-旅游度假-休闲会友-聚会轰趴-农事体验,40.23211,116.28596999999999,Entire home/apt,16,7,11,21326.98,t,2019-10-18,2021-02-15,64,100.0
38740191,296254983,昌平区,【园冶•竹栖山房】暖阳山景竹院&轻奢时尚BBQ&全供暖&昌平5A级景区&紧邻滑雪场&近奥特莱斯及地铁,40.265190000000004,116.19975,Entire home/apt,16,5,15,18963.12,t,2019-10-03,2020-12-25,49,100.0
4917080,25323900,朝阳区,798艺术区 798 Art Zone 舒适高层公寓 超赞视野大床房,39.98307,116.48557,Private room,2,1,1,1358.24,f,2015-10-29,2021-01-29,55,100.0
8133955,29552011,朝阳区,"near传媒大学subwaystop apt,female only2",39.90878,116.56249,Private room,1,3,1,587.7,f,2015-09-13,2021-02-01,54,100.0
8275364,43636106,朝阳区,American and Chinese Stylish Space,39.98258,116.47478000000001,Private room,2,1,1,1945.94,f,2015-11-01,2020-02-08,37,100.0
8543084,44897251,朝阳区,4 BR in Super Heart of BJ,39.91132,116.45362,Private room,1,1,1,1750.04,t,2015-09-30,2020-12-22,88,100.0
12011445,35842340,朝阳区,"拥有落地窗和城市夜景的温馨公寓/紧邻朝阳大悦城, 近国贸CBD",39.92167,116.51518,Entire home/apt,2,1,1,2357.33,f,2016-06-10,2020-01-20,43,100.0
14714286,12127083,朝阳区,CBD传媒大学地铁站旁大型社区东南朝阳大飘窗独立卫生间超大床的AIRBNB家园-五站地地铁国贸,39.90862,116.55564,Private room,2,1,1,1541.0800000000004,f,2016-09-08,2020-12-24,212,100.0
16797707,111665270,朝阳区,涂妈妈叫你回家，北京传媒大学二外语学院之间朝阳路上，离公交站只50米，6号地铁和八通线地铁之间~,39.91464000000001,116.5557,Private room,3,1,2,2043.89,f,2017-02-13,2021-01-04,37,100.0
17407322,59385990,朝阳区,【客从何处来】14号线北工大西门站/紧邻欢乐谷/合生汇双井国贸三里屯CBD望京♛订到即赚到♛,39.86891,116.4847,Private room,2,1,1,1292.94,t,2019-07-03,2021-02-09,74,100.0
17852629,6812741,朝阳区,看着鸟巢睡觉吧，温暖舒适的美式沙发等着您~~~,39.98729,116.38521000000001,Shared room,1,1,0,979.5,f,2017-04-03,2019-08-11,63,100.0
18172659,90596853,朝阳区,"Melody's Home ,CBD国贸双井富力城温馨独立房间",39.89629,116.45371000000002,Private room,1,1,1,2389.98,f,2017-04-19,2019-11-09,46,100.0
18512878,119381472,朝阳区,"CBD国贸 健身主题高层景观房KEEP 小栈:KEEP健身,移动电影院,无敌夜景,空气净化器,干衣机",39.91026,116.49389,Entire home/apt,4,1,2,3251.94,f,2017-05-11,2020-10-07,66,100.0
19514429,106576406,朝阳区,近金台路地铁朝阳公园大望路国贸附近温馨大开间,39.91839,116.48906000000001,Entire home/apt,2,1,1,2677.3,f,2017-08-23,2021-01-31,37,100.0
20295264,44542980,朝阳区,市中心超干净整洁卧室Room-Superman，出门地铁口，毗邻使馆区、三里屯,39.94265,116.47228999999999,Private room,2,1,1,1234.17,t,2017-08-14,2020-09-01,39,100.0
20409607,47603453,朝阳区,[周租月租年租]CBD东三环双井九龙山国贸长安街三里屯大悦城地铁十号线七号线今日美术馆北欧复古房源,39.8983,116.4642,Entire home/apt,4,2,3,3591.5,f,2017-08-14,2020-08-31,44,100.0
20804236,149168920,朝阳区,【特价】小葵有猫 | 双井地铁步行200米/一站抵达国贸CBD/三里屯/优士阁/男士止步/轻复古公寓,39.89143,116.46006000000001,Private room,2,1,1,1508.43,f,2019-03-14,2021-01-16,86,100.0
21454180,23722848,朝阳区,『Little forest』Sihui Metro|Guomao,39.91002,116.49406,Private room,1,1,1,2109.19,f,2017-11-02,2021-02-21,40,100.0
21614919,54596414,朝阳区,"在朝阳CBD,阳光充沛的沙发床",39.89819,116.50417,Shared room,1,1,1,816.25,t,2017-11-11,2020-10-16,73,100.0
21819064,99102533,朝阳区,国贸/呼家楼/人民日报社,39.92172,116.47018999999999,Private room,2,1,1,1227.64,t,2018-04-02,2020-01-20,50,100.0
22350049,26652037,朝阳区,LivingNSome复古时光 三里屯通盈中心  闹中取静 法式清新公寓 两室一厅 开放式厨房,39.92537,116.45785,Entire home/apt,2,2,2,4773.43,f,2017-12-25,2019-12-25,50,100.0
22476753,77281402,朝阳区,「国贸之心」聚会/拍摄/场地活动/CBD百平米超大轻奢一居室/全屋除螨,39.9153,116.45948,Entire home/apt,2,1,1,7627.04,t,2018-01-01,2019-03-24,48,100.0
22578994,12127083,朝阳区,传媒大学二外地铁站成熟社区小卧室-享超大客厅乳胶枕加湿器维生素E-20分钟国贸40分天安门故宫三里屯,39.90678,116.55743000000001,Private room,1,1,1,1005.62,f,2018-01-14,2020-01-18,57,100.0
22890407,106616329,朝阳区,【长租优惠，全屋消毒】十号线太阳宫地铁口亲子【达米屋】/雍和宫/鸟巢/798/三里屯/科技馆/三元桥,39.97278,116.44697,Entire home/apt,4,1,2,2860.140000000001,f,2018-05-01,2021-01-03,72,100.0
23157712,128102413,朝阳区,【摄影&田园 家】北京顺义首都机场附近，田园四合院（限女生）,39.92416,116.46319,Private room,2,1,0,1097.04,f,2018-04-02,2020-01-22,87,100.0
23595940,124965515,朝阳区,国贸/华贸/双井地铁站，高档公寓，豪华装修104平米大两居主卧，无敌北京夜景,39.89953,116.47155,Private room,1,1,1,2938.5,f,2018-04-09,2020-12-21,36,100.0
24149236,67680389,朝阳区,鸟巢、奥体、国际会议中心、地铁5号线和10号线旁的温馨公寓。一站直达雍和宫、南锣鼓巷、东四,39.982009999999995,116.41308000000001,Private room,1,1,1,1181.93,f,2018-07-21,2021-02-05,52,100.0
24415056,60299897,朝阳区,北四环望京西路中央美术学院旁边南北通透ins风卧室 空调到机场25分钟 地铁站附近800米 宜家旁边,39.9904,116.45313,Private room,1,1,1,1234.17,f,2018-04-30,2020-10-10,43,100.0
25652668,104349610,朝阳区,Cozy room in Xibahe Sanyuan West老国展三元西桥旁温馨大床房长租优惠,39.964729999999996,116.43988,Private room,2,1,1,1097.04,f,2018-07-21,2020-12-26,41,100.0
25828309,176148574,朝阳区,温馨小家,39.91425,116.4787,Private room,2,1,1,1103.57,t,2018-07-28,2021-01-15,39,100.0
26820851,201654991,朝阳区,鸟巢水立方、雍和宫、五道营，北三环安贞桥，地铁10号线、5号线。极简安静，Nice 房主，家的感觉。,39.97501,116.4101,Private room,2,1,1,1423.54,f,2018-07-16,2020-01-14,75,100.0
27145174,26652037,朝阳区,LivingNSome诚邑 新城国际Central Park 下榻法式清新公寓去体验繁华首都生活,39.91892,116.45483,Entire home/apt,2,1,1,7156.88,f,2018-08-02,2019-03-17,57,100.0
27224998,16079777,朝阳区,老何家｜步行三里屯太古里3分钟/70平两室一厅整套/位置无敌/暖气贼足/啥都有,39.92925,116.45583,Entire home/apt,3,2,1,2435.69,f,2018-08-07,2021-02-12,46,100.0
27227554,16079777,朝阳区,老何家｜Cozy room/三里屯阳光大主卧/位置无敌/暖气贼足/有猫/啥都有,39.92892,116.45566000000001,Private room,2,1,1,1730.45,f,2018-07-29,2020-01-19,37,100.0
27837593,45804839,朝阳区,国际公寓，独立大卧室，798艺术区、恒通商业园,39.97807,116.49146,Private room,2,1,1,1691.27,f,2018-08-19,2019-12-31,41,100.0
27862335,45804839,朝阳区,高端国际公寓 / 独立卧室 / 798艺术区、酒仙桥,39.97822,116.49016,Private room,1,1,1,1273.35,f,2018-08-25,2020-01-19,37,100.0
27994273,211437016,朝阳区,71平纯实木配净化器|百子湾|CBD国贸|大望路|地铁7号线|双井|高端大一居,39.897659999999995,116.50451000000001,Entire home/apt,2,1,1,3950.65,t,2018-10-06,2020-12-25,32,100.0
28136229,81196869,朝阳区,【欧阳娜娜推荐】乔邑 国贸cbd奢华复古两居室高层公寓 新城国际/世贸天阶/芳草地/wfc/ffc,39.919129999999996,116.45605,Entire home/apt,4,2,2,12491.89,f,2018-09-02,2021-02-11,89,100.0
28139995,212558087,朝阳区,团结湖 三里屯 工体 CBD 呼家楼 燕莎 地铁10号线3分钟 美式风格『乐心空间』,39.934909999999995,116.46366,Entire home/apt,2,1,1,7058.93,f,2018-09-08,2019-08-20,47,100.0
28142755,77281402,朝阳区,「Exquisite Lifestyle」国贸CBD中心95平米一居室高档公寓/全屋除螨,39.9171,116.45963,Entire home/apt,2,1,1,7052.4000000000015,t,2018-09-19,2021-02-05,44,100.0
28305122,103960302,朝阳区,国贸CBD中央公园奢华家NO.7 Central Park luxury apartment,39.917809999999996,116.45503000000001,Entire home/apt,2,1,1,7822.94,t,2018-09-09,2021-02-17,43,100.0
28725212,20788084,朝阳区,【怡• BL1e】十里堡地铁独卫阳光房近天安门/莱锦产业园慈云寺/国贸呼家楼/三里屯/东大桥/朝阳门,39.92041,116.49517,Entire home/apt,2,1,1,1397.42,t,2019-04-30,2020-01-20,55,100.0
28725981,20788084,朝阳区,【怡• BL1d】十里堡地铁独卫双床房近天安门故宫/莱锦产业园慈云寺/国贸/呼家楼东大桥/三里屯,39.92049,116.49571,Entire home/apt,3,1,2,1691.27,t,2018-11-28,2020-12-04,35,100.0
28933784,77281402,朝阳区,Prussian Blue」 CBD核心区域高端一居室公寓,39.91494,116.45746000000001,Entire home/apt,2,1,1,7183.0,t,2018-10-19,2020-08-31,35,100.0
30158714,224880417,朝阳区,三里屯的pink暖心温居· 四连超赞房东|设施无敌|团结湖呼家楼地铁五分钟|步行太古里 工体 大使馆,39.92859,116.46408999999998,Private room,2,1,1,1691.27,t,2018-11-29,2020-01-16,31,100.0
30161749,53010981,朝阳区,月租优惠 ！  高层景观精装公寓 ，地铁常营站，直达南锣后海鼓楼， 环保理念,39.92269,116.59663,Entire home/apt,2,1,1,1880.64,f,2018-11-21,2019-11-15,36,100.0
30304700,20823036,朝阳区,【望京798】#距离望京阜通站仅80m#798#望京SOHO#CAFA美院#韩国城炸鸡啤酒,39.99104000000001,116.46973,Private room,2,1,1,1332.12,t,2018-11-30,2021-02-19,72,100.0
30381344,228153305,朝阳区,已长租至5月『向阳处 』798/奥莱/望京soho/颐堤港 /首都机场/将台路站,39.97874,116.5232,Entire home/apt,4,2,2,2971.15,t,2018-12-01,2020-01-19,59,100.0
30494260,76870157,朝阳区,【疫情期间可出租】肿瘤医院单间出租 Beijing East Second Ring Road,39.87316,116.44769,Private room,1,1,1,4362.04,f,2018-12-16,2019-11-18,46,100.0
30571463,19284007,朝阳区,设计师的家| 轻奢140平三居双卫｜烤箱洗衣做饭｜65寸电视｜新风系统｜电梯｜桌游棋牌｜住8人,39.90904000000001,116.50256999999999,Entire home/apt,8,3,3,5909.6500000000015,t,2019-01-01,2021-02-09,86,100.0
30730577,128102413,朝阳区,【摄影&家·艺术2】四月可租，国贸CBD/东三环/工体三里屯/央视大楼旁/呼家楼地铁口（限女生）,39.92254000000001,116.46516000000001,Private room,2,1,1,1097.04,f,2018-12-13,2020-01-12,61,100.0
31478309,127347759,朝阳区,今日已消毒：【望京|特色美房 】中央美术学院@798@北京南站@望京soho@鸟巢紫外线消毒洁静舒,40.00865,116.46928,Entire home/apt,4,2,2,3650.27,f,2019-01-13,2021-02-21,34,100.0
31918537,204406095,朝阳区,【富力城】东三环地铁旁高端小区富力城，紧邻国贸CBD，楼上带露台楼下小花园的温馨主卧室,39.8983,116.45896,Private room,2,1,1,1691.27,f,2019-02-10,2020-01-26,59,100.0
32067385,65868035,朝阳区,美国大使馆/APS审核/三里屯/农展馆/麦子店的一间房间-长租优惠,39.94313,116.46775,Private room,2,1,1,1299.47,t,2019-02-15,2021-01-05,85,100.0
32428992,30899625,朝阳区,"Sunshine Apartment, Close to Metro, Airport",39.91936,116.55251000000001,Entire home/apt,2,1,1,1292.94,f,2019-06-14,2021-02-16,34,100.0
32562834,152766208,朝阳区,【仅月度长租】离天安门很近的传媒人独立房间，东二环广渠门外/劲松地铁站附近，公交出行最便利直达天安门,39.886959999999995,116.44968999999999,Private room,4,1,1,1031.74,f,2019-03-02,2020-12-20,63,100.0
32874943,104300199,朝阳区,可年租，八号 洁癖设计师楠哥家，双井桥东高层带电梯，一百平双卧大户型，近国贸、三里屯、天坛，邻地铁，五星洁净,39.88038,116.4745,Entire home/apt,6,2,3,5302.3600000000015,t,2019-03-14,2020-01-30,44,100.0
33102872,78735986,朝阳区,【暖暖屋】望京soho\美院\机场\凯德mall\奔驰大厦\马卡龙色系 有温度的小确幸,39.99268,116.47357,Entire home/apt,2,1,1,2070.01,f,2019-03-23,2020-12-16,41,100.0
33123169,78735986,朝阳区,【木器】望京Soho/美院/798/凯德Mall/奔驰大厦/ 核心CBD的正规一居 有温度的品质之选,39.99192,116.47353999999999,Entire home/apt,2,1,1,2912.38,t,2019-03-19,2020-12-12,37,100.0
33386197,26652037,朝阳区,LivingNSome岚邑 cbd高端涉外小区 新城国际高层公寓Mid Century Modern,39.91703,116.45608999999999,Entire home/apt,2,1,1,7176.47,t,2019-04-08,2021-02-12,41,100.0
33620907,251211204,朝阳区,国贸商圈CBD公寓3,39.90717,116.47051,Private room,2,1,1,1998.18,f,2019-04-07,2021-01-01,50,100.0
33723436,252603956,朝阳区,高楼层大落地窗公寓/大尺寸投影/近三里屯、工体、国贸,39.92903,116.45598999999999,Entire home/apt,2,1,1,3467.4300000000007,t,2019-04-14,2020-12-27,101,100.0
34300591,192005526,朝阳区,CBD区域一处安静、安心、舒适的家。地铁沿线，近故宫/天安门/前门/大栅栏/天坛/等。,39.899159999999995,116.45198,Private room,2,1,1,1678.21,t,2019-05-10,2021-02-20,101,100.0
34562555,14945055,朝阳区,【新风系统】京味儿飘窗顶层精装，舒适乳胶床垫榻榻米，近地铁六号线朝阳大悦城和达美中心,39.93353,116.51483,Entire home/apt,3,1,2,2337.74,f,2019-05-12,2020-10-07,38,100.0
34585375,72807797,朝阳区,望京南地铁站紧邻央美望京soho温馨洁净独立房间,39.98682,116.47254,Private room,1,1,1,1234.17,f,2019-05-17,2021-01-29,37,100.0
