room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating
1643534,7790897,东城区,Sunny & Cozy Apt in Beijing,39.881479999999996,116.44542,Entire home/apt,3,1,2,2448.75,t,2013-10-08,2021-01-02,67,92.0
4990531,25729513,东城区,Monthly Discounted- Orchid's Residence Expansive Hutong Home,39.94193,116.39843,Entire home/apt,4,1,2,10513.3,t,2015-02-16,2020-08-21,20,94.0
9961623,1360862,东城区,Very large apartment in Sanlitun,39.93905,116.44238999999999,Entire home/apt,4,2,2,6353.690000000001,f,2016-01-03,2016-08-13,2,90.0
10107116,30320328,东城区,东四十条三里屯永利国际高挡公寓出租,39.931999999999995,116.44073,Entire home/apt,2,1,1,4244.5,f,2018-01-01,2018-01-01,1,100.0
10758433,44037550,东城区,Loft古典大床间101市中心四合院可做饭消毒2分钟地铁西四站故宫天安门北海南锣景山北大人民阜外医院,39.90365,116.40738999999999,Entire home/apt,2,1,1,1952.47,t,2019-11-11,2020-12-06,3,93.0
11996876,64145158,东城区,北京三里屯， 东直门 ，海晟国际公寓开间出租,39.9421,116.4443,Private room,2,1,1,1959.0,f,2016-06-11,2017-10-07,9,100.0
12043853,64145158,东城区,北京三里屯， 东直门，海晟名苑一居室出租,39.94213,116.44445,Entire home/apt,2,1,1,3265.0,f,2016-04-22,2019-10-13,31,99.0
12043910,64145158,东城区,北京东直门，三里屯海晟国际公寓短期出租,39.9391,116.43448000000001,Entire home/apt,2,1,1,1919.82,f,2016-09-22,2019-10-05,19,89.0
12355847,12267702,东城区,东直门海晟国际公寓一居2房,39.93884,116.43453999999998,Entire home/apt,2,1,1,3591.5,t,2016-04-23,2019-02-09,8,97.0
15092531,58164985,东城区,"紧邻朝阳门&建国门,儿研所、日坛公园旁精品两居室",39.9133,116.43156,Entire home/apt,4,2,2,3571.9100000000008,t,2016-09-26,2020-11-28,13,97.0
16012549,25729513,东城区,Monthly Discounted- Orchid Modern Hutong Residence,39.94341,116.39941,Entire home/apt,4,1,2,9762.35,t,2017-02-01,2021-02-11,10,98.0
16024828,25729513,东城区,Monthly Discounted- Orchid Amazing Hutong Loft,39.94341,116.39941,Entire home/apt,4,1,2,9011.4,t,2016-12-03,2021-02-11,33,100.0
16024957,25729513,东城区,Monthly Discounted- Orchid Cozy modern loft,39.94341,116.39941,Entire home/apt,4,1,2,9011.4,t,2016-12-27,2020-01-26,17,99.0
16036659,79932117,东城区,北京市中心、工体三里屯、酒店式管理、非一般得感觉，随时欢迎您的光临,39.93241,116.43968000000001,Entire home/apt,2,1,1,4375.1,f,2017-08-10,2018-08-14,3,100.0
16241759,25729513,东城区,Monthly Discounted- Orchid's Luxurious privacy,39.94341,116.39941,Entire home/apt,4,1,2,10513.3,t,2016-12-28,2020-11-07,40,98.0
16241928,25729513,东城区,"Cozy, Contemporary Hideaway Along a Secret Lane",39.94341,116.39941,Entire home/apt,4,0,2,9011.4,t,2016-12-19,2020-01-23,14,98.0
16396952,103280846,东城区,5号14号线地铁枢纽天坛天安门购物超市便捷,39.86584000000001,116.41561000000002,Entire home/apt,3,1,2,2181.02,t,2016-12-24,2020-01-13,27,94.0
16454723,24896768,东城区,东直门地铁旁，紧邻三里屯，工体，簋街，舒适聚会空间,39.94204000000001,116.44436,Entire home/apt,16,1,8,6412.46,t,2017-01-07,2021-02-12,155,98.0
16579175,84809327,东城区,10号线太阳宫地铁站，清新空气温馨公寓,39.90484,116.40801,Private room,1,1,1,3265.0,f,2017-08-31,2017-09-23,2,100.0
17098857,103782181,东城区,"【骚舍-偶遇】享受浪漫小清新,超棒夜景,92寸巨幕,游戏机,智能马桶,送游泳健身",39.864470000000004,116.39448,Entire home/apt,3,1,1,2657.71,f,2017-04-03,2020-01-11,210,100.0
17788448,121507542,东城区,国贸CBD最中心370平空中欧式别墅270度全景豪宅!,39.904959999999996,116.4081,Entire home/apt,8,4,4,16187.87,f,2018-06-19,2020-01-05,10,96.0
