room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating,price
33559965,194403560,嘉定区,Cara&Hana的天空之城11号线嘉定新城 直达迪士尼落地窗270度绝美黄昏夜景近保利大剧院赛车场,31.32158,121.26038,Private room,4,1,1,f,2019-04-13,2021-02-23,69,100.0,1730.45
19186432,23598891,崇明区,"【五星推荐超赞房东】 整栋精品北欧日式别墅,花园烧烤、阳光房、棋牌室、山地车、4卧4卫",31.46287,121.81946,Entire home/apt,8,4,5,t,2017-09-17,2021-02-16,107,100.0,15672.0
22738841,26445288,崇明区,【超五星民宿】“DV翡冷翠1#·虫鸣渔村”长江边/近网红丁坝/独幢2房2厅混搭法式老洋房般的内饰,31.49923,121.71635,Entire home/apt,5,2,3,f,2018-02-24,2021-02-06,147,100.0,5654.980000000001
24583705,96619451,崇明区,【五星好评】崇明【品闲居民宿】北欧风独栋别墅木屋 泳池、垂钓、烧烤、亲子最多7大3小,31.58499,121.69135,Entire home/apt,10,4,4,t,2018-05-26,2021-01-25,72,100.0,14170.1
18727314,107360935,徐汇区,Only for Ms. Traveling alone,31.15976,121.42391,Shared room,1,1,1,t,2017-06-04,2021-01-12,55,100.0,711.77
24746622,183541334,徐汇区,法～租界领事馆&复兴西路/淮海中路/静安寺/南京东路外滩/世博梅奔/田子坊/华山医院@宽敞舒适整套房,31.21175,121.44682,Entire home/apt,2,1,1,t,2018-05-03,2021-01-12,187,100.0,1847.99
27843500,155890357,徐汇区,【月租优惠】旧情人|近iapm | 陕西南路地铁站5分钟|田子坊| 日月光,31.21217,121.45895,Entire home/apt,2,1,1,f,2019-02-09,2020-01-22,62,100.0,1959.0
30974874,228194945,徐汇区,房间已消毒【黑白印象】打浦桥商圈KING HOUSE精品设计公寓近田子坊、思南公馆、新天地,31.200740000000003,121.46468,Entire home/apt,2,1,1,f,2019-01-22,2020-03-21,56,100.0,2500.99
31724935,228194945,徐汇区,房间已消毒！【南岛之家】打浦桥商圈KING HOUSE精品设计公寓近田子坊、思南公馆、新天地,31.20117,121.46452,Entire home/apt,2,1,1,t,2019-01-27,2020-04-14,56,100.0,2514.05
35055958,72046738,徐汇区,法·租·界花园阳光小屋；近武康路、衡山路、乌鲁木齐南路；临1/7/9/10四条地铁🚇；静安寺2站地铁,31.20437,121.45137,Entire home/apt,2,1,1,t,2019-06-16,2021-02-09,66,100.0,1893.7
29948055,41637578,普陀区,昔住•月租优惠3/4/11/13四轨地铁5分钟高层景观公寓@环球港@中山公园@海洋世界@直通迪士尼,31.23286,121.41532,Entire home/apt,4,1,1,t,2018-11-13,2021-02-13,105,100.0,2239.79
30437074,160268041,普陀区,黑白简约风  市中心 长寿路、江宁路地铁站 近南京西路 静安寺 上海站 万代南梦宫 M50,31.24341,121.44297,Entire home/apt,2,1,1,t,2018-12-04,2021-01-09,104,100.0,1880.64
31999869,20783559,普陀区,日式简约温馨 厨房设备一应俱全 适合情侣和家庭 7/13号线长寿路站 市中心 交通便利 周边商圈繁多,31.23953,121.44265,Entire home/apt,4,2,2,t,2019-02-05,2021-01-24,72,100.0,3454.370000000001
38422630,158034853,杨浦区,【Tang’s house】现代简约一居室/投影仪家庭影院/电梯房/地铁旁/上海理工大学正对面,31.28083,121.5564,Entire home/apt,2,1,1,t,2019-09-09,2021-01-13,54,100.0,2050.42
30878926,230778483,松江区,（独立房间）9号线松江大学城紧邻万达广富林欢乐谷东华大学,31.06125,121.23517,Private room,2,1,1,f,2019-04-12,2021-01-16,53,100.0,914.2
4289350,10322353,浦东新区,Cozy LOFT @ Heart of Lujiazui CBD,31.24187,121.50907,Entire home/apt,1,1,1,f,2015-10-14,2021-01-28,67,100.0,1710.86
8415704,44210432,浦东新区,Cozy villa Room2,31.128740000000004,121.58273,Private room,2,1,1,t,2015-10-05,2019-10-11,53,100.0,2285.5
10344344,44210432,浦东新区,Cozy villa Room3 独立卫浴,31.13553,121.58307,Private room,2,1,1,t,2016-05-29,2019-10-11,71,100.0,2285.5
10344589,44210432,浦东新区,【云居】迪士尼乐园旁 “上海云居别墅”独立房间4,31.13421,121.58244,Private room,2,1,1,t,2016-02-10,2019-10-11,56,100.0,2285.5
13943159,57375856,浦东新区,（谢绝情侣）五分钟直达迪士尼 预定前请先咨询 我们we民宿,31.144890000000004,121.69227,Entire home/apt,4,1,3,f,2016-07-29,2021-02-16,163,100.0,1560.67
15028642,64371143,浦东新区,Mhouse设计师【酒精紫外线消毒】【别墅独卫带阳台套房】13分钟迪士尼/18分钟机场/免费攻略,31.14167,121.66282,Private room,3,1,1,t,2016-12-31,2019-12-21,149,100.0,5406.84
15028673,64371143,浦东新区,Mhouse设计师【独卫花园露台房+接送迪士尼】13分钟迪士尼/浦东机场/免费迪士尼攻略/新国展,31.18613,121.68591,Private room,4,1,1,t,2016-12-26,2019-10-26,68,100.0,5406.84
15031573,79461869,浦东新区,Shanghai，Pudong New District.,31.18038,121.50164,Private room,2,1,1,f,2016-10-13,2021-01-07,70,100.0,1110.1
18034970,100129493,浦东新区,"""蓝鲸之家""地中海风情带私人影院/可停车/全屋安全消毒/方便做饭配套盒马鲜生/迪士尼地铁十一号线/南京路地铁八号线",31.12629,121.50489,Entire home/apt,4,2,2,t,2017-04-23,2020-11-13,122,100.0,2598.94
19352512,59147955,浦东新区,Chez B&B: Sofa living room @ Longyang Road,31.197440000000004,121.55722,Shared room,2,1,1,f,2017-07-01,2020-10-20,76,100.0,770.5400000000002
19445456,32274962,浦东新区,世博/迪士尼/新国际博览中心/九院浦东分院/次卧景观房 感受传统文化魅力 步行到达地铁六、七号线,31.18814,121.52116,Private room,2,1,1,t,2017-07-09,2021-01-01,72,100.0,1364.77
20766314,105160036,浦东新区,"【若绿】龙阳路交通枢纽，出门4条地铁, 近南京路/外滩/迪士尼/新国展/浦东机场",31.20002,121.55595,Private room,2,1,1,f,2017-09-14,2021-01-03,62,100.0,1234.17
21444055,92462420,浦东新区,『SITU』思荼•云朵面包|开阔LOFT|4站达迪士尼|新国展|100寸家庭影院|闺蜜聚会|亲子乐园,31.10336,121.61441,Entire home/apt,7,2,5,t,2017-10-28,2020-12-18,112,100.0,2592.4100000000008
21635101,157012062,浦东新区,友迎·榻榻米Villa/近迪士尼/含早/BMW免费迪士尼接送,31.13634,121.68469,Entire home/apt,3,1,1,t,2017-11-25,2021-02-22,83,100.0,2422.63
22186595,142965030,浦东新区,素悦阳光大床房-独栋别墅免费接送迪士尼十分钟车程/含双早,31.14381,121.65752,Private room,2,1,1,t,2017-12-25,2020-10-26,96,100.0,3056.04
22331966,157012062,浦东新区,友迎·樱语·日式榻榻米/近迪士尼/含早餐/BMW免费迪士尼接送,31.14447,121.65703,Entire home/apt,3,1,1,t,2017-12-31,2020-12-18,53,100.0,2422.63
22527082,163526762,浦东新区,【欧蕾悠】·朝阳河畔+圆弧观景房—含迪士尼往返/近浦东机场/临近11号线/地铁直达市区,31.1332,121.65863,Private room,2,1,1,t,2018-06-13,2020-08-13,70,100.0,2716.48
23328759,136570516,浦东新区,特价-免费接送上海迪士尼乐园、浦东国际机场、上海野生动物园！（迪士尼店101）,31.14309,121.67555,Entire home/apt,9,3,4,t,2018-02-19,2021-02-14,99,100.0,3552.32
24601354,181024421,浦东新区,云和川民宿/全屋中央空调温暖如春/超大阳光奢享园景浴缸房/私家车接送迪士尼/含双早/静音高档麻将机,31.14368,121.67709,Private room,2,1,1,t,2018-08-02,2020-11-19,52,100.0,2135.31
25038039,189286605,浦东新区,【长租·可看房】迪士尼·独栋别墅·INS原木宿舍风·康桥半岛高端富人区·独立客房(门锁/卫浴)·西舍,31.13617,121.57806,Entire home/apt,2,1,2,f,2018-05-18,2020-10-06,151,100.0,1854.52
25947962,187768533,浦东新区,超大露台情侣大床房/赠迪士尼线免费接送/8分钟到迪士尼往返/近野生动物园NineT欧蕾悠,31.14167,121.66006000000002,Private room,2,1,1,t,2018-06-21,2021-01-12,77,100.0,1306.0
26106931,163526762,浦东新区,【玛奇朵]·榻榻米百叶窗精致大床/含迪士尼往返/近浦东机场/近11号线迪士尼站,31.14283,121.65858,Private room,2,1,1,t,2018-07-01,2020-10-29,68,100.0,2298.56
26232015,181174487,浦东新区,"Dishui Lake, Compus City, Wanke, Local Services",30.91597,121.92462,Entire home/apt,5,3,3,t,2018-07-16,2021-02-15,90,100.0,2520.58
26284385,61144823,浦东新区,（2浦东机场PVG附近）私人独栋别墅内的温馨大床房单间，提供接送机服务。（2号房链接）,31.21075,121.75855,Private room,2,1,1,t,2018-07-07,2020-11-21,53,100.0,966.44
29241032,217699435,浦东新区,【姐姐家的民宿】<整栋独享>！整栋！整栋！浴缸➕巨幕投影！榻榻米卧室！迪士尼超近10分钟免费接送！,31.11669,121.694,Entire home/apt,4,1,1,t,2018-10-28,2021-02-21,225,100.0,1847.99
29344693,221079133,浦东新区,上海大宅门A南京路 陆家嘴 东方明珠塔 外滩 迪士尼 世博园 新国展 超大客厅房豪华装修 环境幽静,31.19582,121.52547,Entire home/apt,8,4,4,f,2018-10-30,2021-02-20,105,100.0,8449.82
29909753,181174487,浦东新区,Haichang Ocean Park/Close to College Town/D Lake,30.91308,121.92218,Entire home/apt,4,2,2,t,2019-05-16,2021-02-14,53,100.0,2174.49
29981294,189286605,浦东新区,【长租·可看房】迪士尼·独栋别墅·ins森系小屋· 独立客房(门锁/卫浴)·康桥半岛高端富人区·东林,31.13486,121.57566,Entire home/apt,3,1,2,f,2018-12-01,2020-11-10,78,100.0,1756.5700000000004
31239769,89643801,浦东新区,『免费接送』迪士尼野生动物园海洋公园浦东机场,31.13217,121.65874,Entire home/apt,6,4,4,f,2019-01-18,2020-12-31,55,100.0,4166.14
31240851,232307871,浦东新区,【预订八折】柠檬初上hellokitty主题房/迪士尼独栋别墅/赠早餐乐园接送/新装修/近机场/地铁,31.13488,121.67038,Private room,2,1,1,t,2019-03-27,2020-10-23,56,100.0,2004.71
31838906,238464976,浦东新区,遇见归心·倚楼 简约风格，独栋花园别墅/庭院可自助烧烤/智能化妆镜/网红蝴蝶椅,31.13438,121.69386000000002,Private room,2,1,1,t,2019-05-04,2021-01-08,66,100.0,868.49
32116015,240556934,浦东新区,【流苏】【限时特惠】清新榻榻米观影房-迪士尼接驳五分钟-近野生动物园/浦东机场/地铁站,31.14063,121.66269,Private room,2,1,1,t,2019-02-08,2020-11-01,78,100.0,1736.98
32160950,42535755,浦东新区,[寒假七五折/早鸟价]私语 恋恋Summer北欧轻奢别墅单间 近迪士尼/地铁直达外滩机场/近商业区 位置超优,31.13905,121.66765,Private room,2,1,1,f,2019-02-10,2021-01-02,72,100.0,1371.3
32180776,42535755,浦东新区,[寒假七五折/早鸟价]森屿暖树 -恋恋Summer 日系muji风别墅单间 近迪士尼/地铁直达外滩/近商业区位置超优,31.13983,121.66514,Private room,2,1,1,f,2019-02-10,2021-01-02,83,100.0,1371.3
