host_id,host_name,host_since,host_has_profile_pic,host_identity_verified,host_response_rate,room_count,income,daily_income,ave_room_income,is_single,is_best
98203,Jia,2010-03-24,t,t,1.0,2,254258.61000000002,63.755920260782354,31.877960130391177,t,f
681552,Leon,2011-06-09,t,t,1.0,6,831406.1300000001,234.46309362662157,39.077182271103595,f,f
1777552,Nitin,2012-02-19,t,t,1.0,1,88808.0,26.985110908538438,26.985110908538438,t,f
2454164,Alvin,2012-05-24,t,t,1.0,3,130417.15999999999,40.80637046307884,13.602123487692948,t,f
2131088,Sammy,2012-04-13,t,t,1.0,1,19746.72,6.100315106580167,6.100315106580167,t,f
3387343,Lily,2012-08-27,t,t,1.0,2,48935.82,15.780657852305708,7.890328926152854,t,f
3808518,Nour,2012-10-09,t,t,1.0,10,235994.2,77.17272727272727,7.717272727272728,f,f
4471201,Lisa,2012-12-23,t,t,1.0,9,82715.51000000001,27.72896748240027,3.0809963869333634,f,f
4758827,Larry,2013-01-18,t,t,1.0,2,24095.7,8.148698004734529,4.074349002367264,t,f
4944168,Creed,2013-02-02,t,t,1.0,2,36933.68,12.55393609789259,6.276968048946295,t,f
170641,Mariel,2010-07-18,t,t,1.0,1,456551.48,117.91102272727272,117.91102272727272,t,f
6765831,Fanny,2013-06-06,t,t,1.0,1,4505.7,1.598899929027679,1.598899929027679,t,f
3844657,Leo (Yi Hsin),2012-10-12,t,t,1.0,1,90505.8,29.625466448445174,29.625466448445174,t,f
330035,Alex,2010-12-29,t,t,0.8,2,43019.64,11.601844660194175,5.800922330097087,t,f
9194956,Karl,2013-10-02,t,t,1.0,1,11597.28,4.295288888888889,4.295288888888889,t,f
9367776,畅 Chang,2013-10-11,t,t,1.0,1,12642.08,4.697911557041992,4.697911557041992,t,f
9552203,施,2013-10-21,t,t,1.0,3,4015.9500000000007,1.4979298769116005,0.4993099589705335,t,f
10044315,Sophy,2013-11-16,t,t,0.67,5,599734.79,225.88880979284372,45.17776195856874,f,f
5069544,Rubii,2013-02-13,t,t,0.92,1,21091.899999999998,7.196144660525417,7.196144660525417,t,f
10399867,Tim,2013-12-03,t,t,0.86,1,30808.54,11.678749052312359,11.678749052312359,t,f
6329065,Justine,2013-05-11,t,t,0.92,1,4571.0,1.6072433192686357,1.6072433192686357,t,f
12725376,Benoit,2014-03-02,t,t,0.0,1,22391.370000000006,8.784374264417421,8.784374264417421,t,f
10538237,MiMo,2013-12-10,t,t,1.0,1,325291.95000000007,123.63814139110607,123.63814139110607,t,f
13120816,Angela,2014-03-14,t,t,0.92,1,4440.4000000000015,1.7502562081198272,1.7502562081198272,t,f
7815217,Tony,2013-07-30,t,t,0.92,1,17395.920000000002,6.293748191027497,6.293748191027497,t,f
6422697,Crystal,2013-05-16,t,t,0.0,1,34693.89,12.220461430081015,12.220461430081015,t,f
5515630,Chi,2013-03-18,t,t,1.0,1,157699.5,54.416666666666664,54.416666666666664,t,f
15357274,Delin,2014-05-11,t,t,1.0,1,287320.0,115.90157321500605,115.90157321500605,t,f
10138863,Winnie,2013-11-20,t,t,1.0,1,97636.56,36.83008675971332,36.83008675971332,t,f
15881138,Harry,2014-05-23,t,t,0.9,7,52592.619999999995,21.318451560599918,3.0454930800857025,f,f
15966618,Janee,2014-05-25,t,t,1.0,4,118225.65,47.96172413793103,11.990431034482757,t,f
7741247,Laurent,2013-07-26,t,t,1.0,6,2946871.46,1064.6211921965319,177.43686536608863,f,f
16447310,Rick,2014-06-06,t,t,0.92,1,15672.0,6.3889115368936,6.3889115368936,t,f
5493846,Peiying,2013-03-17,t,t,1.0,27,7445617.009999999,2568.339775784753,95.12369539943529,f,f
16937823,Martina,2014-06-18,t,t,1.0,1,179914.56,73.70526833265055,73.70526833265055,t,f
15203654,哲Zhe,2014-05-07,t,t,1.0,2,40884.33,16.46569875151027,8.232849375755135,t,f
18253255,Tae,2014-07-17,t,t,0.92,1,80358.18,33.31599502487562,33.31599502487562,t,f
18433964,John,2014-07-20,t,t,0.9,1,5583.150000000001,2.3176214196762146,2.3176214196762146,t,f
13507317,Loong,2014-03-25,t,t,1.0,2,540239.96,213.87171813143308,106.93585906571654,t,f
19442668,Charline,2014-08-04,t,t,1.0,1,17526.520000000004,7.321019214703427,7.321019214703427,t,f
3346878,Yaxin,2012-08-23,t,t,0.92,1,1959.0,0.6309178743961352,0.6309178743961352,t,f
17743161,Shanghai Home,2014-07-07,t,t,1.0,15,8756423.09,3615.368740710157,241.02458271401045,f,f
8792423,Isis,2013-09-12,t,t,1.0,9,2052072.0899999999,754.4382683823529,83.82647426470588,f,f
21161924,Kai,2014-09-10,t,t,1.0,2,19015.36,8.067611370386084,4.033805685193042,t,f
21441998,Vivian& Luke,2014-09-17,t,t,1.0,1,755468.76,321.47606808510636,321.47606808510636,t,f
21505482,Sarie,2014-09-18,t,t,1.0,1,1806237.18,768.9387739463601,768.9387739463601,t,f
10381765,Deborah,2013-12-02,t,t,0.92,1,4962.8,1.880560818491853,1.880560818491853,t,f
10322353,Yixuan,2013-11-28,t,t,1.0,1,114627.62,43.37026863412788,43.37026863412788,t,f
22315192,Jon,2014-10-09,t,t,0.92,3,11048.760000000002,4.7460309278350525,1.5820103092783508,t,f
8250847,华亭,2013-08-19,t,t,1.0,1,69825.29,25.446534256559765,25.446534256559765,t,f
22136741,Sunny,2014-10-05,t,t,1.0,4,849846.8500000002,364.4283233276159,91.10708083190397,t,f
22607697,今,2014-10-16,t,t,1.0,7,666484.4500000001,287.1540068935804,41.022000984797195,f,f
22621896,Shaoming,2014-10-16,t,t,0.92,1,29515.6,12.71676001723395,12.71676001723395,t,f
22977793,Yi,2014-10-26,t,t,0.75,1,6836.910000000002,2.958420597144094,2.958420597144094,t,f
23204503,王权,2014-11-01,t,t,0.0,2,22463.200000000004,9.74542299349241,4.872711496746205,t,f
23923862,Crystal,2014-11-19,t,t,0.0,1,18238.290000000005,7.974766069086141,7.974766069086141,t,f
950425,Scarlett,2011-08-10,t,t,1.0,1,57594.60000000001,16.531171067738235,16.531171067738235,t,f
22557168,刘,2014-10-15,t,t,0.92,1,4897.5,2.109173126614987,2.109173126614987,t,f
5904716,一宿,2013-04-13,t,t,1.0,4,2548854.9,887.4842966573816,221.8710741643454,t,f
4258815,Faye,2012-11-27,t,t,1.0,3,407315.2800000001,135.36566301096713,45.12188767032237,t,f
25581908,丹婷,2015-01-04,t,t,1.0,1,48935.82,21.836599732262382,21.836599732262382,t,f
25743523,Chang,2015-01-07,t,t,0.6,1,122424.44,54.702609472743525,54.702609472743525,t,f
25988214,Vicky,2015-01-12,t,t,1.0,2,87697.9,39.273578145991934,19.636789072995967,t,f
26627643,Di,2015-01-24,t,t,1.0,1,5955.36,2.6813867627194954,2.6813867627194954,t,f
26047811,Dai,2015-01-13,t,t,1.0,1,68094.84,30.508440860215053,30.508440860215053,t,f
13976011,Wei,2014-04-06,t,t,1.0,1,6660.600000000002,2.649403341288784,2.649403341288784,t,f
24503473,Joy,2014-12-05,t,t,0.5,2,59514.42,26.206261558784675,13.103130779392338,t,f
9633829,Jana & Levi,2013-10-25,t,t,1.0,7,6949487.199999999,2595.998206948076,370.856886706868,f,f
28373181,Pu,2015-02-25,t,t,1.0,1,473189.92,216.1671630881681,216.1671630881681,t,f
11428688,Zhongxin,2014-01-18,t,t,1.0,1,12766.15,4.925212191358025,4.925212191358025,t,f
28657838,Feifei,2015-03-02,t,t,1.0,1,675724.4,309.39761904761906,309.39761904761906,t,f
6447770,Amy,2013-05-18,t,t,1.0,2,21131.08,7.448389143461403,3.7241945717307017,t,f
28841360,雨軒,2015-03-06,t,t,0.92,1,966.44,0.4433211009174312,0.4433211009174312,t,f
29095707,Mo,2015-03-10,t,t,1.0,3,6660.600000000001,3.0609375000000005,1.0203125000000002,t,f
28859309,Cynthia,2015-03-06,t,t,1.0,1,3839.64,1.761302752293578,1.761302752293578,t,f
