room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating,price
4428381,22977793,嘉定区,地铁口旁北欧风温馨55平米一室一厅-距13号线金运路站咫尺之距！地铁直达南京西路/ 淮海路/新天地,31.24201,121.31751,Entire home/apt,2,1,1,f,2019-08-11,2021-01-02,3,100.0,2278.9700000000007
6736597,20927370,嘉定区,Abby's tiny house very close to 13 line Xintiandi,31.24233,121.36032,Private room,1,1,1,f,2017-03-15,2019-11-09,21,98.0,848.9
8963958,46144085,嘉定区,豪华LOFT  日系清新 亚洲最美图书馆 保利大剧院  上海赛车场 地铁直达迪斯尼,31.34454,121.25416,Private room,2,1,1,f,2017-03-02,2020-10-22,63,99.0,777.07
11643807,50416577,嘉定区,[同济上城名都大套三间]重返青葱岁月！6人可住带阳台仨共享3840亩芳草绿阳,31.27287,121.21377,Entire home/apt,6,3,3,t,2018-04-07,2019-09-01,4,100.0,1821.87
11680609,38124968,嘉定区,Anting German Town Wiemar Villa ( 200m2) Master,31.27135,121.17667,Private room,2,1,1,t,2016-07-28,2018-06-08,11,98.0,901.14
11804228,60716453,嘉定区,古漪园旁，位于南翔CBD的温馨小窝，近虹桥机场/火车站，国家会展中心，11号线直达迪士尼、徐家汇,31.29008,121.32155,Private room,2,1,1,t,2019-12-30,2020-12-05,13,100.0,1221.11
12332823,66561587,嘉定区,虹桥机场/虹桥火车站附近13号线地铁直达新天地独立精装卧室,31.23955,121.31077,Private room,2,1,1,f,2016-05-02,2020-08-07,11,87.0,718.3000000000002
13253658,38124968,嘉定区,Anting German Town Wiemar Villa ( 200m2) Garden,31.27745,121.16839,Private room,1,1,1,t,2016-08-04,2018-08-30,5,96.0,705.24
13520146,75117443,嘉定区,万科金色领域90平米精装公寓房对外出租，适合家庭短暂旅游休闲好友聚会。,31.38273,121.22239,Entire home/apt,5,2,1,f,2017-05-01,2020-11-04,6,100.0,1371.3
13946743,82981009,嘉定区,地铁近/虹桥枢纽/一间院,31.23942000000001,121.30912,Private room,1,1,1,f,2016-09-28,2020-11-02,20,100.0,901.14
14408917,88618235,嘉定区,地铁口100米/免费停车/车位充足/整套出租/复式两房一厅/可做饭/带宠物/房东友善/高性价比,31.34757,121.24288,Entire home/apt,4,2,2,t,2017-03-03,2021-01-16,9,98.0,1704.3300000000004
14646231,21443766,嘉定区,Shanghai local home stay - villa kingsize bedroom,31.34475,121.27886,Private room,3,1,1,f,2016-10-02,2021-02-18,47,98.0,875.02
14718161,88618235,嘉定区,地铁口100米/免费停车/车位充足/复式两房一厅/可做饭/带宠物/房东友善/高性价比,31.34767,121.23906,Entire home/apt,4,2,2,t,2018-04-09,2019-04-21,3,100.0,4864.85
15416970,21443766,嘉定区,Queen size guest room close to F1 arena,31.36232,121.30078,Private room,2,1,1,f,2016-11-29,2021-01-19,35,97.0,711.77
15650670,50416577,嘉定区,『同济九间房之4/9』特惠回馈房！且听风吟～明窗2扇实体房非隔断,31.28932,121.22127,Private room,1,1,1,f,2016-11-06,2020-01-11,16,99.0,646.47
16074794,79549954,嘉定区,房间位于一楼，简约北欧装修风格，14平，适合单身出游,31.2533,121.37754,Private room,1,1,0,f,2019-12-13,2020-04-12,2,100.0,2389.98
16288349,106548902,嘉定区,1三台空调+三张大床，优惠价6800/月，商业中心旁六人舒适美居，地铁13和11号线之间。,31.2679,121.33744,Entire home/apt,4,3,3,f,2016-12-26,2019-02-28,13,98.0,4035.54
16805473,111746030,嘉定区,马陆*南翔*大融城*赛车场*汽车城*徐家汇*迪士尼沿线地铁11号线温馨复式公寓整套出租,31.33145,121.2826,Entire home/apt,8,4,4,f,2017-03-29,2018-10-03,6,80.0,4048.6
